Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Threat,Label
3389,6,2202859,8,7,1144,1581,677,0,143.0,227.96992,1173,0,225.85715,430.0986,1237.0288,6.809333,157347.08,245543.84,943075,3,2202859,314694.16,398127.28,1201115,3,2009289,334881.5,299161.25,943075,178276,0,0,0,0,172,152,3.6316442,3.1776886,0,1173,170.3125,319.4027,102018.09,0,0,1,1,0,0,0,1,0,181.66667,143.0,225.85715,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,868,1,1,37,135,37,37,37.0,0.0,135,135,135.0,0.0,198156.69,2304.1475,868.0,0.0,868,868,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1152.0737,1152.0737,37,135,69.666664,56.580326,3201.3333,0,0,0,0,0,0,0,0,1,104.5,37.0,135.0,0,0,0,0,0,0,1,37,1,135,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
49483,6,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.54,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19230.77,19230.77,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,292,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,4108966,14,9,1439,1731,725,0,102.78571,191.19711,1179,0,192.33333,386.07446,771.48364,5.597515,186771.19,233141.0,953114,78,4108966,316074.3,320016.2,1245322,27169,4039431,504928.88,303314.38,953114,170619,0,0,0,0,292,192,3.4071832,2.1903322,0,1179,132.08333,274.24155,75208.43,0,0,1,1,0,0,0,1,0,137.82608,102.78571,192.33333,0,0,0,0,0,0,14,1439,9,1731,8192,62561,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,952,1,1,40,101,40,40,40.0,0.0,101,101,101.0,0.0,148109.25,2100.8403,952.0,0.0,952,952,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1050.4202,1050.4202,40,101,60.333332,35.218365,1240.3334,0,0,0,0,0,0,0,0,1,90.5,40.0,101.0,0,0,0,0,0,0,1,40,1,101,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,415,1,1,40,56,40,40,40.0,0.0,56,56,56.0,0.0,231325.3,4819.2773,415.0,0.0,415,415,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2409.6387,2409.6387,40,56,45.333332,9.237604,85.333336,0,0,0,0,0,0,0,0,1,68.0,40.0,56.0,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
445,6,263964,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15.153582,87988.0,152278.45,263824,0,263964,131982.0,186650.73,263964,0,0,0.0,0.0,0,0,0,0,0,0,72,32,11.365186,3.7883954,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,69,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.508,69.0,0.0,69,69,69,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0,0,0,40,0,28985.508,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,4000313,14,9,1456,1731,741,0,104.0,195.01361,1179,0,192.33333,386.07446,796.6877,5.74955,181832.4,248205.3,955917,111,4000313,307716.38,338076.1,1243210,61483,3986233,498279.12,346556.78,955917,62527,0,0,0,0,292,192,3.499726,2.249824,0,1179,132.79167,275.67844,75998.61,0,0,1,1,0,0,0,1,0,138.56522,104.0,192.33333,0,0,0,0,0,0,14,1456,9,1731,8192,62544,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
0,0,112639675,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266336,56300000.0,9.192389,56300000,56300000,113000000,56300000.0,9.192389,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266336,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56300000.0,9.192389,56300000,56300000,Benign,Benign
443,6,252,3,0,77,0,46,0,25.666666,23.459185,0,0,0.0,0.0,305555.56,11904.762,126.0,147.07822,230,22,252,126.0,147.07822,230,22,0,0.0,0.0,0,0,1,0,0,0,60,0,11904.762,0.0,0,46,30.75,21.68525,470.25,0,1,0,0,1,0,0,0,0,41.0,25.666666,0.0,0,0,0,0,0,0,3,77,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
49787,6,6800069,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.29411465,6800069.0,0.0,6800069,6800069,6800069,6800069.0,0.0,6800069,6800069,0,0.0,0.0,0,0,0,0,0,0,40,0,0.29411465,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,288,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,1730,1,1,41,127,41,41,41.0,0.0,127,127,127.0,0.0,97109.83,1156.0693,1730.0,0.0,1730,1730,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,578.03467,578.03467,41,127,69.666664,49.652122,2465.3333,0,0,0,0,0,0,0,0,1,104.5,41.0,127.0,0,0,0,0,0,0,1,41,1,127,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,854,3,4,161,488,161,0,53.666668,92.95339,488,0,122.0,244.0,759953.2,8196.722,142.33333,98.9963,258,1,443,221.5,130.81476,314,129,596,198.66667,190.46347,381,1,0,0,0,0,72,92,3512.8806,4683.841,0,488,81.125,173.78758,30202.125,0,0,0,1,0,0,0,0,1,92.71429,53.666668,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,49915,2,2,144,308,72,72,72.0,0.0,154,154,154.0,0.0,9055.395,80.13623,16638.334,18160.873,36279,454,49461,49461.0,0.0,49461,49461,36733,36733.0,0.0,36733,36733,0,0,0,0,16,16,40.068115,40.068115,72,154,104.8,44.91325,2017.2,0,0,0,0,0,0,0,0,1,131.0,72.0,154.0,0,0,0,0,0,0,2,144,2,308,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
445,6,268654,7,5,364,582,103,0,52.0,49.217205,409,0,116.4,167.03532,3521.2578,44.667118,24423.092,27485.682,53293,34,268654,44775.668,21918.992,55980,94,215560,53890.0,1235.8013,55737,53165,0,0,0,0,152,112,26.055819,18.6113,0,409,72.76923,109.53322,11997.525,0,0,0,1,0,0,0,0,0,78.833336,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,255,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
443,6,1,1,1,58,31,58,58,58.0,0.0,31,31,31.0,0.0,89000000.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,20,20,1000000.0,1000000.0,31,58,49.0,15.588457,243.0,0,1,0,0,1,0,0,0,1,73.5,58.0,31.0,0,0,0,0,0,0,1,58,1,31,32160,32160,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,119035486,20,18,1755,3152,436,0,87.75,178.64899,788,0,175.11111,337.1006,41.223,0.31923252,3217175.2,4661520.5,10000000,73,119000000,6264340.5,4851478.5,10000000,147,119000000,7000789.0,4614338.0,10000000,557,0,0,0,0,412,504,0.16801712,0.15121542,0,788,125.82051,262.91733,69125.52,0,0,0,1,0,0,0,0,0,129.13158,87.75,175.11111,0,0,0,0,0,0,20,1755,18,3152,8192,294,15,20,76347.836,152964.64,542549,11472,9842191.0,490466.7,10000000,8290136,Benign,Benign
53,17,36202,1,1,35,95,35,35,35.0,0.0,95,95,95.0,0.0,3590.962,55.245567,36202.0,0.0,36202,36202,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,27.622784,27.622784,35,95,55.0,34.641018,1200.0,0,0,0,0,0,0,0,0,1,82.5,35.0,95.0,0,0,0,0,0,0,1,35,1,95,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
51366,6,25,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,40000.0,40000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,123,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,3981547,14,8,1442,1731,725,0,103.0,191.12541,1179,0,216.375,405.46478,796.9264,5.5254903,189597.47,283152.94,953170,58,3981547,306272.84,388650.8,1289014,19185,3943988,563426.9,437628.4,1142379,107084,0,0,0,0,292,172,3.5162213,2.0092692,0,1179,137.95653,278.8795,77773.77,0,0,1,1,0,0,0,1,0,144.22728,103.0,216.375,0,0,0,0,0,0,14,1442,8,1731,8192,62643,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,790,3,4,161,488,161,0,53.666668,92.95339,488,0,122.0,244.0,821519.0,8860.76,131.66667,76.17524,222,28,407,203.5,103.944695,277,130,568,189.33333,169.52089,366,28,0,0,0,0,72,92,3797.4683,5063.291,0,488,81.125,173.78758,30202.125,0,0,0,1,0,0,0,0,1,92.71429,53.666668,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,2436336,8,7,1128,1581,661,0,141.0,222.62332,1173,0,225.85715,430.0986,1111.9156,6.1567864,174024.0,252416.69,953246,5,2436336,348048.0,401584.62,1233654,5,2214932,369155.34,291017.34,953246,223187,0,0,0,0,168,148,3.2836194,2.873167,0,1173,169.3125,317.73126,100953.164,0,0,0,1,0,0,0,0,0,180.6,141.0,225.85715,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,1872151,8,7,1148,1581,677,0,143.5,228.12967,1173,0,225.85715,430.0986,1457.6815,8.012175,133725.08,245678.86,953249,3,1872151,267450.16,391906.06,1147721,3,1729367,288227.84,326358.16,953249,143153,0,0,0,0,172,152,4.2731595,3.7390146,0,1173,170.5625,319.43323,102037.59,0,0,1,1,0,0,0,1,0,181.93333,143.5,225.85715,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
50323,6,25,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80000.0,25.0,0.0,25,25,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,40000.0,40000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,290,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,53948802,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.037072185,53900000.0,0.0,53900000,53900000,53900000,53900000.0,0.0,53900000,53900000,0,0.0,0.0,0,0,0,0,0,0,40,0,0.037072185,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
51087,6,46,3,1,77,0,46,0,25.666666,23.459185,0,0,0.0,0.0,1673913.0,86956.52,15.333333,13.613719,26,0,46,23.0,32.526913,46,0,0,0.0,0.0,0,0,1,0,0,0,60,20,65217.39,21739.13,0,46,24.6,23.276598,541.8,0,1,0,0,1,0,0,0,0,30.75,25.666666,0.0,0,0,0,0,0,0,3,77,1,0,127,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
49738,6,16,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,62500.0,62500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,48180,63957,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
49680,6,132,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15151.516,132.0,0.0,132,132,132,132.0,0.0,132,132,0,0.0,0.0,0,0,0,0,0,0,40,0,15151.516,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,257,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,2122338,9,7,1132,1581,661,0,125.77778,213.67369,1173,0,225.85715,430.0986,1278.3073,7.5388556,141489.2,254500.12,953125,3,2122338,265292.25,367447.78,1104929,3,2023555,337259.16,359161.66,953125,90392,0,0,0,0,192,152,4.2406063,3.2982495,0,1173,159.58824,310.4088,96353.63,0,0,1,1,0,0,0,1,0,169.5625,125.77778,225.85715,0,0,0,0,0,0,9,1132,7,1581,8192,62868,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,378,1,1,33,193,33,33,33.0,0.0,193,193,193.0,0.0,597883.6,5291.0054,378.0,0.0,378,378,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,2645.5027,2645.5027,33,193,86.333336,92.376045,8533.333,0,0,0,0,0,0,0,0,1,129.5,33.0,193.0,0,0,0,0,0,0,1,33,1,193,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,1676141,8,7,1144,1581,677,0,143.0,227.96992,1173,0,225.85715,430.0986,1625.7582,8.949128,119724.36,245687.3,953251,70,1676141,239448.72,387599.44,1113215,70,1567304,261217.33,339567.12,953251,109387,0,0,0,0,172,152,4.772868,4.1762595,0,1173,170.3125,319.4027,102018.09,0,0,1,1,0,0,0,1,0,181.66667,143.0,225.85715,0,0,0,0,0,0,8,1144,7,1581,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
3389,6,4075449,14,8,1442,1731,725,0,103.0,191.12541,1179,0,216.375,405.46478,778.5645,5.398178,194069.0,294292.75,955099,3,4075449,313496.06,375903.25,1176515,3,4045741,577963.0,409896.9,1121853,107174,0,0,0,0,292,172,3.4352043,1.962974,0,1179,137.95653,278.8795,77773.77,0,0,1,1,0,0,0,1,0,144.22728,103.0,216.375,0,0,0,0,0,0,14,1442,8,1731,8192,62558,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
443,6,229972,1,1,0,77,0,0,0.0,0.0,77,77,77.0,0.0,334.82336,8.696711,229972.0,0.0,229972,229972,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,4.3483553,4.3483553,0,77,25.666666,44.45597,1976.3334,0,0,0,0,1,0,0,0,1,38.5,0.0,77.0,0,0,0,0,0,0,1,0,1,77,253,140,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,6185343,4,4,97,231,97,0,24.25,48.5,231,0,57.75,115.5,53.028587,1.2933801,883620.44,2310978.8,6124180,51,61163,20387.666,35012.008,60816,119,6185166,2061722.0,3570513.5,6184596,227,0,0,0,0,92,92,0.6466901,0.6466901,0,231,36.444443,79.69961,6352.028,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,288,1,1,65,193,65,65,65.0,0.0,193,193,193.0,0.0,895833.3,6944.4443,288.0,0.0,288,288,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3472.2222,3472.2222,65,193,107.666664,73.90083,5461.3335,0,0,0,0,0,0,0,0,1,161.5,65.0,193.0,0,0,0,0,0,0,1,65,1,193,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
80,6,87,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22988.506,87.0,0.0,87,87,87,87.0,0.0,87,87,0,0.0,0.0,0,0,0,0,0,0,40,0,22988.506,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
53,17,3196,1,1,51,161,51,51,51.0,0.0,161,161,161.0,0.0,66332.914,625.7822,3196.0,0.0,3196,3196,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,312.8911,312.8911,51,161,87.666664,63.50853,4033.3333,0,0,0,0,0,0,0,0,1,131.5,51.0,161.0,0,0,0,0,0,0,1,51,1,161,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Benign
